scorer,,,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan,jonathan
labeled-data,cam-4_0514-1549,cam-4_153.png,269.314079,594.584838,,,231.407942,638.267148,174.368231,712.274368,160.288809,780.866426,,
labeled-data,cam-4_0514-1549,cam-4_154.png,242.622951,632.786885,,,205.245902,679.016393,143.934426,751.803279,116.721311,791.803279,,
labeled-data,cam-4_0514-1549,cam-4_155.png,,,,,,,60.869565,587.826087,101.73913,614.782609,,
labeled-data,cam-4_0514-1549,cam-4_16.png,238.98917,310.108303,,,190.252708,305.776173,128.158845,371.119134,128.519856,436.823105,,
labeled-data,cam-4_0514-1549,cam-4_165.png,225.877193,619.298246,,,176.315789,624.122807,87.280702,638.596491,44.298246,658.77193,,
labeled-data,cam-4_0514-1549,cam-4_166.png,221.052632,556.140351,,,263.157895,606.140351,323.245614,687.280702,353.947368,732.894737,,
labeled-data,cam-4_0514-1549,cam-4_167.png,,,,,54.143646,378.453039,148.207171,403.984064,209.561753,420.318725,199.601594,410.358566
labeled-data,cam-4_0514-1549,cam-4_168.png,,,,,,,110.843373,362.650602,173.092369,390.763052,,
labeled-data,cam-4_0514-1549,cam-4_17.png,572.619048,427.97619,,,515.77381,409.52381,444.940476,372.321429,371.72619,363.690476,,
labeled-data,cam-4_0514-1549,cam-4_172.png,162.454874,386.642599,,,113.718412,410.108303,,,,,,
labeled-data,cam-4_0514-1549,cam-4_174.png,,,,,,,,,,,,
labeled-data,cam-4_0514-1549,cam-4_175.png,,,,,,,,,,,,
labeled-data,cam-4_0514-1549,cam-4_176.png,889.74359,752.564103,,,842.948718,769.871795,,,,,,
labeled-data,cam-4_0514-1549,cam-4_177.png,812.941176,745.882353,,,776.470588,768.823529,,,,,,
labeled-data,cam-4_0514-1549,cam-4_178.png,797.833935,718.772563,,,763.176895,745.126354,,,,,,
labeled-data,cam-4_0514-1549,cam-4_179.png,662.801932,582.125604,,,690.338164,636.231884,728.985507,731.400966,734.299517,781.642512,,
labeled-data,cam-4_0514-1549,cam-4_18.png,713.545817,747.011952,,,664.541833,722.709163,591.633466,676.89243,541.434263,619.521912,,
labeled-data,cam-4_0514-1549,cam-4_180.png,595.614035,450.0,,,597.368421,503.070175,628.947368,608.333333,662.280702,650.877193,,
labeled-data,cam-4_0514-1549,cam-4_181.png,607.246377,412.560386,,,593.236715,471.497585,571.014493,563.285024,565.217391,631.400966,,
labeled-data,cam-4_0514-1549,cam-4_182.png,589.035088,469.298246,,,572.368421,528.508772,535.964912,614.473684,530.263158,672.368421,,
labeled-data,cam-4_0514-1549,cam-4_183.png,557.017544,577.192982,,,526.754386,624.122807,480.263158,710.964912,479.385965,774.561404,463.157895,756.578947
labeled-data,cam-4_0514-1549,cam-4_184.png,547.808765,655.378486,,,497.211155,680.079681,415.936255,734.661355,393.227092,784.063745,387.250996,776.494024
labeled-data,cam-4_0514-1549,cam-4_185.png,50.996016,401.593625,,,89.243028,438.247012,156.573705,496.812749,206.772908,519.123506,194.422311,531.474104
labeled-data,cam-4_0514-1549,cam-4_186.png,56.578947,429.385965,,,87.280702,467.982456,145.614035,532.894737,192.54386,521.052632,,
labeled-data,cam-4_0514-1549,cam-4_187.png,78.508772,480.263158,,,117.105263,519.298246,193.421053,589.912281,253.508772,604.385965,242.54386,610.526316
labeled-data,cam-4_0514-1549,cam-4_188.png,135.416667,502.380952,,,141.964286,553.571429,174.702381,650.595238,236.011905,680.059524,,
labeled-data,cam-4_0514-1549,cam-4_189.png,197.368421,559.210526,,,167.54386,605.701754,120.614035,695.614035,87.719298,752.631579,107.894737,743.421053
labeled-data,cam-4_0514-1549,cam-4_19.png,745.901639,727.868852,,,696.393443,745.901639,608.196721,734.098361,548.196721,696.065574,,
labeled-data,cam-4_0514-1549,cam-4_190.png,,,,,,,107.246377,566.183575,144.927536,604.830918,,
labeled-data,cam-4_0514-1549,cam-4_191.png,,,,,,,76.754386,557.017544,120.175439,609.649123,,
labeled-data,cam-4_0514-1549,cam-4_192.png,789.371981,628.985507,,,736.231884,634.782609,639.130435,649.758454,577.294686,665.217391,,
labeled-data,cam-4_0514-1549,cam-4_193.png,,,,,957.004831,542.512077,931.400966,623.188406,899.033816,686.47343,,
labeled-data,cam-4_0514-1549,cam-4_194.png,968.525896,482.47012,,,962.948207,541.035857,946.215139,644.621514,936.653386,697.211155,,
labeled-data,cam-4_0514-1549,cam-4_195.png,949.40239,507.171315,,,957.370518,562.948207,967.330677,669.721116,,,,
labeled-data,cam-4_0514-1549,cam-4_196.png,944.444444,512.560386,,,956.521739,570.531401,971.980676,665.217391,,,,
labeled-data,cam-4_0514-1549,cam-4_197.png,943.859649,511.403509,,,957.45614,568.859649,972.807018,652.631579,,,,
labeled-data,cam-4_0514-1549,cam-4_198.png,950.877193,531.578947,,,967.105263,589.473684,975.438596,653.070175,,,,
labeled-data,cam-4_0514-1549,cam-4_199.png,947.342995,531.884058,,,965.700483,585.024155,973.429952,648.309179,,,,
labeled-data,cam-4_0514-1549,cam-4_20.png,600.398406,654.183267,,,646.215139,691.633466,682.071713,772.908367,,,,
labeled-data,cam-4_0514-1549,cam-4_200.png,951.754386,538.157895,,,966.22807,596.052632,,,,,,
labeled-data,cam-4_0514-1549,cam-4_201.png,963.74502,583.266932,,,976.095618,652.988048,,,,,,
labeled-data,cam-4_0514-1549,cam-4_202.png,966.086957,589.565217,,,974.297189,648.594378,,,,,,
labeled-data,cam-4_0514-1549,cam-4_203.png,849.758454,632.36715,,,902.898551,644.927536,,,,,,
labeled-data,cam-4_0514-1549,cam-4_204.png,71.428571,434.821429,,,123.214286,447.321429,205.952381,446.130952,243.75,489.880952,,
labeled-data,cam-4_0514-1549,cam-4_206.png,519.806763,674.396135,,,469.082126,699.516908,374.396135,729.951691,318.84058,734.299517,,
labeled-data,cam-4_0514-1549,cam-4_207.png,950.541516,587.00361,,,899.638989,582.310469,821.66065,562.815884,758.483755,527.797834,756.6787,541.516245
labeled-data,cam-4_0514-1549,cam-4_21.png,424.701195,450.996016,,,471.713147,480.079681,545.418327,538.247012,546.215139,585.657371,554.183267,588.446215
labeled-data,cam-4_0514-1549,cam-4_210.png,902.192982,550.877193,,,944.736842,521.052632,,,,,,
labeled-data,cam-4_0514-1549,cam-4_211.png,907.729469,544.444444,,,942.512077,522.222222,,,,,,
labeled-data,cam-4_0514-1549,cam-4_212.png,900.796813,547.808765,,,945.816733,520.318725,,,,,,
labeled-data,cam-4_0514-1549,cam-4_22.png,335.458167,404.780876,,,387.250996,434.661355,474.900398,483.266932,523.10757,519.123506,516.334661,502.788845
labeled-data,cam-4_0514-1549,cam-4_23.png,457.017544,359.210526,,,417.54386,396.052632,371.052632,481.578947,365.350877,550.438596,,
labeled-data,cam-4_0514-1549,cam-4_24.png,462.549801,366.932271,,,427.091633,407.968127,356.573705,474.103586,304.38247,501.195219,317.131474,507.569721
labeled-data,cam-4_0514-1549,cam-4_25.png,463.537906,370.036101,,,425.99278,409.025271,362.454874,481.588448,313.357401,491.696751,323.104693,503.610108
labeled-data,cam-4_0514-1549,cam-4_26.png,333.864542,388.047809,,,379.681275,405.577689,441.832669,475.697211,417.928287,520.318725,430.677291,521.912351
labeled-data,cam-4_0514-1549,cam-4_27.png,259.016393,368.196721,,,313.770492,380.983607,403.278689,407.540984,465.57377,418.360656,,
labeled-data,cam-4_0514-1549,cam-4_28.png,731.578947,445.175439,,,704.824561,397.807018,632.017544,359.649123,588.157895,406.578947,,
labeled-data,cam-4_0514-1549,cam-4_29.png,874.103586,596.812749,,,826.693227,567.729084,748.605578,512.350598,706.374502,469.322709,,
labeled-data,cam-4_0514-1549,cam-4_30.png,955.081967,566.885246,,,909.180328,583.934426,816.721311,617.377049,766.229508,615.737705,767.540984,623.606557
labeled-data,cam-4_0514-1549,cam-4_31.png,939.344262,549.836066,,,908.852459,586.885246,818.688525,632.131148,767.868852,659.344262,,
labeled-data,cam-4_0514-1549,cam-4_32.png,917.982456,483.77193,,,905.263158,532.45614,876.754386,628.947368,866.22807,691.22807,,
labeled-data,cam-4_0514-1549,cam-4_33.png,917.105263,486.403509,,,903.947368,538.157895,877.391304,632.173913,860.869565,686.956522,,
labeled-data,cam-4_0514-1549,cam-4_34.png,896.414343,525.099602,,,888.844622,584.063745,875.298805,682.071713,,,,
labeled-data,cam-4_0514-1549,cam-4_35.png,819.298246,537.280702,,,835.964912,593.421053,880.263158,681.140351,926.315789,705.263158,,
labeled-data,cam-4_0514-1549,cam-4_36.png,742.995169,553.140097,,,791.304348,579.227053,857.487923,632.850242,873.913043,700.0,,
labeled-data,cam-4_0514-1549,cam-4_37.png,556.573705,490.438247,,,609.163347,517.131474,693.227092,545.418327,753.386454,570.916335,,
labeled-data,cam-4_0514-1549,cam-4_38.png,379.385965,401.754386,,,430.263158,436.403509,506.140351,496.929825,,,555.701754,535.964912
labeled-data,cam-4_0514-1549,cam-4_39.png,418.84058,324.637681,,,419.806763,379.710145,439.130435,476.811594,461.835749,532.850242,,
labeled-data,cam-4_0514-1549,cam-4_4.png,963.529412,589.411765,,,946.470588,639.411765,908.823529,744.117647,,,,
labeled-data,cam-4_0514-1549,cam-4_40.png,477.689243,160.159363,,,454.581673,213.14741,414.741036,301.195219,397.211155,364.541833,,
labeled-data,cam-4_0514-1549,cam-4_41.png,489.243028,128.286853,,,469.322709,183.266932,431.474104,276.095618,400.398406,317.52988,,
labeled-data,cam-4_0514-1549,cam-4_42.png,528.158845,211.552347,,,477.978339,194.584838,414.801444,257.039711,436.823105,308.66426,,
labeled-data,cam-4_0514-1549,cam-4_43.png,733.333333,458.937198,,,689.855072,434.299517,604.830918,383.574879,570.531401,337.198068,,
labeled-data,cam-4_0514-1549,cam-4_44.png,740.794224,465.703971,,,688.447653,442.960289,600.0,411.552347,546.209386,379.783394,,
labeled-data,cam-4_0514-1549,cam-4_45.png,735.887097,420.16129,,,691.129032,443.145161,602.822581,465.322581,554.435484,435.483871,,
labeled-data,cam-4_0514-1549,cam-4_46.png,731.407942,419.855596,,,681.588448,451.263538,599.638989,492.418773,545.848375,524.909747,,
labeled-data,cam-4_0514-1549,cam-4_47.png,665.725806,445.967742,,,627.822581,486.290323,556.048387,543.548387,501.209677,553.225806,,
labeled-data,cam-4_0514-1549,cam-4_48.png,541.639344,541.639344,,,502.95082,586.885246,440.327869,652.131148,386.229508,679.344262,,
labeled-data,cam-4_0514-1549,cam-4_49.png,453.068592,624.187726,,,408.303249,662.815884,347.65343,730.32491,331.046931,787.364621,,
labeled-data,cam-4_0514-1549,cam-4_5.png,963.297872,579.255319,,,946.808511,635.106383,913.297872,714.893617,,,,
labeled-data,cam-4_0514-1549,cam-4_50.png,455.263158,625.0,,,413.157895,658.77193,340.350877,712.280702,298.245614,761.403509,,
labeled-data,cam-4_0514-1549,cam-4_51.png,454.873646,625.99278,,,410.469314,661.371841,336.823105,718.411552,287.00361,761.371841,,
labeled-data,cam-4_0514-1549,cam-4_52.png,466.425993,625.270758,,,420.938628,660.288809,347.65343,715.523466,292.779783,752.707581,,
labeled-data,cam-4_0514-1549,cam-4_53.png,463.690476,629.166667,,,421.428571,661.011905,344.940476,719.940476,294.094488,755.314961,,
labeled-data,cam-4_0514-1549,cam-4_54.png,524.324324,615.135135,,,475.405405,650.0,402.702703,700.540541,351.351351,719.459459,,
labeled-data,cam-4_0514-1549,cam-4_55.png,501.639344,632.786885,,,455.409836,671.803279,388.852459,720.983607,332.131148,759.672131,334.098361,749.180328
labeled-data,cam-4_0514-1549,cam-4_56.png,383.665339,683.266932,,,359.36255,740.63745,,,,,,
labeled-data,cam-4_0514-1549,cam-4_57.png,258.510638,596.276596,,,288.829787,646.276596,331.914894,730.851064,,,,
labeled-data,cam-4_0514-1549,cam-4_58.png,79.385965,406.578947,,,119.298246,462.280702,178.070175,539.912281,214.912281,583.77193,,
labeled-data,cam-4_0514-1549,cam-4_59.png,39.912281,336.842105,,,70.175439,400.0,107.017544,481.578947,135.087719,538.596491,,
labeled-data,cam-4_0514-1549,cam-4_6.png,964.285714,579.87013,,,944.805195,635.714286,905.844156,727.272727,,,,
labeled-data,cam-4_0514-1549,cam-4_60.png,90.350877,333.333333,,,69.298246,393.421053,79.824561,485.964912,133.333333,515.350877,,
labeled-data,cam-4_0514-1549,cam-4_61.png,129.880478,358.565737,,,78.087649,401.593625,,,,,,
labeled-data,cam-4_0514-1549,cam-4_62.png,141.832669,386.85259,,,89.641434,418.326693,,,,,,
labeled-data,cam-4_0514-1549,cam-4_63.png,143.478261,387.439614,,,92.270531,419.323671,,,,,,
labeled-data,cam-4_0514-1549,cam-4_64.png,152.786885,419.016393,,,95.081967,419.672131,,,,,,
labeled-data,cam-4_0514-1549,cam-4_65.png,177.380952,535.416667,,,133.333333,490.178571,57.738095,416.964286,,,,
labeled-data,cam-4_0514-1549,cam-4_66.png,174.42623,537.704918,,,130.491803,493.770492,59.016393,419.672131,,,,
labeled-data,cam-4_0514-1549,cam-4_67.png,202.295082,506.557377,,,146.229508,489.508197,44.736842,461.842105,,,,
labeled-data,cam-4_0514-1549,cam-4_68.png,204.918033,505.245902,,,151.47541,490.491803,49.097473,470.397112,,,,
labeled-data,cam-4_0514-1549,cam-4_69.png,206.498195,503.971119,,,150.180505,488.808664,44.765343,475.451264,,,,
labeled-data,cam-4_0514-1549,cam-4_7.png,897.391304,574.782609,,,930.319149,625.531915,940.163934,709.016393,,,,
labeled-data,cam-4_0514-1549,cam-4_70.png,492.418773,595.66787,,,433.574007,585.920578,335.379061,570.397112,276.895307,558.122744,,
labeled-data,cam-4_0514-1549,cam-4_71.png,854.385965,542.54386,,,803.070175,580.701754,731.140351,622.807018,672.807018,627.631579,,
labeled-data,cam-4_0514-1549,cam-4_72.png,848.309179,529.468599,,,814.492754,576.811594,735.748792,635.2657,690.821256,671.980676,,
labeled-data,cam-4_0514-1549,cam-4_73.png,143.824701,314.342629,,,199.203187,338.645418,276.095618,372.908367,343.426295,398.007968,,
labeled-data,cam-4_0514-1549,cam-4_74.png,109.163347,308.366534,,,161.354582,344.621514,238.645418,396.812749,292.828685,410.756972,,
labeled-data,cam-4_0514-1549,cam-4_75.png,435.964912,362.719298,,,399.561404,336.403509,317.54386,267.54386,262.280702,241.666667,,
labeled-data,cam-4_0514-1549,cam-4_76.png,291.566265,548.192771,,,340.160643,563.855422,430.923695,577.911647,481.526104,555.02008,,
labeled-data,cam-4_0514-1549,cam-4_77.png,467.005076,765.482234,,,,,374.111675,710.152284,356.345178,645.177665,,
labeled-data,cam-4_0514-1549,cam-4_78.png,611.764706,514.117647,,,578.823529,564.117647,529.411765,647.058824,489.411765,693.529412,,
labeled-data,cam-4_0514-1549,cam-4_79.png,610.588235,515.882353,,,574.705882,574.117647,531.176471,648.823529,497.647059,705.882353,,
labeled-data,cam-4_0514-1549,cam-4_8.png,849.275362,541.062802,,,880.193237,590.338164,931.400966,680.676329,,,,
labeled-data,cam-4_0514-1549,cam-4_80.png,628.502415,692.270531,,,612.077295,639.130435,565.700483,552.173913,517.874396,526.570048,,
labeled-data,cam-4_0514-1549,cam-4_81.png,368.599034,522.222222,,,397.101449,573.429952,456.521739,658.937198,501.449275,693.719807,,
labeled-data,cam-4_0514-1549,cam-4_82.png,392.982456,408.333333,,,353.070175,445.614035,300.438596,527.192982,270.614035,578.947368,,
labeled-data,cam-4_0514-1549,cam-4_83.png,460.956175,498.804781,,,417.928287,476.095618,324.302789,434.262948,271.713147,413.14741,,
labeled-data,cam-4_0514-1549,cam-4_84.png,525.901639,454.098361,,,475.409836,440.327869,383.606557,455.081967,327.868852,485.901639,,
labeled-data,cam-4_0514-1549,cam-4_85.png,516.721311,623.278689,,,459.344262,641.967213,375.409836,678.032787,320.983607,707.540984,,
labeled-data,cam-4_0514-1549,cam-4_86.png,568.852459,606.557377,,,517.04918,625.245902,432.786885,658.360656,368.852459,677.704918,,
labeled-data,cam-4_0514-1549,cam-4_87.png,568.12749,606.772908,,,513.944223,626.294821,423.505976,664.143426,370.517928,685.258964,,
labeled-data,cam-4_0514-1549,cam-4_88.png,379.710145,494.202899,,,418.84058,533.816425,484.057971,615.942029,531.884058,652.657005,,
labeled-data,cam-4_0514-1549,cam-4_89.png,142.95082,391.147541,,,189.836066,425.901639,260.655738,487.868852,324.918033,505.57377,,
labeled-data,cam-4_0514-1549,cam-4_9.png,848.93617,542.553191,,,873.404255,595.212766,912.234043,689.361702,942.523364,730.373832,,
labeled-data,cam-4_0514-1549,cam-4_90.png,136.462094,385.198556,,,180.505415,427.436823,245.848375,504.693141,290.613718,540.794224,287.364621,531.046931
labeled-data,cam-4_0514-1549,cam-4_91.png,270.036101,330.685921,,,226.353791,367.870036,159.927798,437.184116,131.768953,500.361011,,
labeled-data,cam-4_0514-1549,cam-4_92.png,271.119134,327.436823,,,228.880866,363.537906,151.263538,423.826715,105.415162,462.815884,115.523466,459.927798
labeled-data,cam-4_0514-1549,cam-4_93.png,264.583333,333.630952,,,223.511905,366.964286,143.209877,420.987654,90.946502,458.847737,102.880658,456.378601
labeled-data,cam-4_0514-1549,cam-4_94.png,221.912351,386.454183,,,170.517928,409.163347,84.462151,452.589641,,,47.410359,484.063745
labeled-data,cam-4_0514-1549,cam-4_95.png,139.840637,431.87251,,,83.266932,454.98008,,,,,,
labeled-data,cam-4_0514-1549,cam-4_96.png,49.565217,474.782609,,,,,,,,,,
